time,timestamp,voltage,current,remaining,remaining_c,remaining_v,SOH,initial,connected,reserved1,reserved2,uctimestamp,init_SOC,resistance,cvoltage,cvoltage_orin
0취,2804,1338,0,-1,0,-1,100,0,0,0,0,2804,0,0.02,0,0
0.109취,2913,1341,0,-1,0,-1,100,0,0,0,0,2913,0,0.02,0,0
0.209취,3013,1342,0,-1,0,-1,100,0,0,0,0,3013,0,0.02,0,0
0.309취,3113,1336,0,-1,0,-1,100,0,0,0,0,3113,0,0.02,0,0
0.409취,3213,1341,0,-1,0,-1,100,0,0,0,0,3213,0,0.02,0,0
0.509취,3313,1341,0,-1,0,-1,100,0,0,0,0,3313,0,0.02,0,0
0.609취,3413,1337,0,-1,0,-1,100,0,0,0,0,3413,0,0.02,0,0
0.709취,3513,1335,0,-1,0,-1,100,0,0,0,0,3513,0,0.02,0,0
0.809취,3613,1334,0,-1,0,-1,100,0,0,0,0,3613,0,0.02,0,0
0.909취,3713,1340,0,-1,0,-1,100,0,0,0,0,3713,0,0.02,0,0
1.009취,3813,1339,0,-1,0,-1,100,0,0,0,0,3813,0,0.02,0,0
1.109취,3913,1341,0,-1,0,-1,100,0,0,0,0,3913,0,0.02,0,0
1.209취,4013,1337,0,-1,0,-1,100,0,0,0,0,4013,0,0.02,0,0
1.309취,4113,1339,0,-1,0,-1,100,0,0,0,0,4113,0,0.02,0,0
1.409취,4213,1327,0,-1,0,-1,100,0,0,0,0,4213,0,0.02,0,0
1.509취,4313,1288,0,-1,0,-1,100,0,0,0,0,4313,0,0.02,0,0
1.609취,4413,1337,0,-1,0,-1,100,0,0,0,0,4413,0,0.02,0,0
1.709취,4513,1343,0,-1,0,-1,100,0,0,0,0,4513,0,0.02,0,0
1.809취,4613,1340,0,-1,0,-1,100,0,0,0,0,4613,0,0.02,0,0
1.909취,4713,1335,0,-1,0,-1,100,0,0,0,0,4713,0,0.02,0,0
2.009취,4813,1339,0,-1,0,-1,100,0,0,0,0,4813,0,0.02,0,0
2.109취,4913,1337,0,-1,0,-1,100,0,0,0,0,4913,0,0.02,0,0
2.209취,5013,1336,0,-1,0,-1,100,0,0,0,0,5013,0,0.02,0,0
2.309취,5113,1337,0,-1,0,-1,100,0,0,0,0,5113,0,0.02,0,0
2.409취,5213,1335,0,-1,0,-1,100,0,0,0,0,5213,0,0.02,0,0
2.509취,5313,1340,0,-1,0,-1,100,0,0,0,0,5313,0,0.02,0,0
2.609취,5413,1336,0,-1,0,-1,100,0,0,0,0,5413,0,0.02,0,0
2.709취,5513,1339,0,-1,0,-1,100,0,0,0,0,5513,0,0.02,0,0
2.809취,5613,1344,0,-1,0,-1,100,0,0,0,0,5613,0,0.02,0,0
2.909취,5713,1335,0,-1,0,-1,100,0,0,0,0,5713,0,0.02,0,0
3.009취,5813,1288,0,-1,0,-1,100,0,0,0,0,5813,0,0.02,0,0
3.109취,5913,1337,0,-1,0,-1,100,0,0,0,0,5913,0,0.02,0,0
3.209취,6013,1334,0,-1,0,-1,100,0,0,0,0,6013,0,0.02,0,0
3.309취,6113,1338,0,-1,0,-1,100,0,0,0,0,6113,0,0.02,0,0
3.409취,6213,1338,0,-1,0,-1,100,0,0,0,0,6213,0,0.02,0,0
3.509취,6313,1335,0,-1,0,-1,100,0,0,0,0,6313,0,0.02,0,0
3.609취,6413,1335,0,-1,0,-1,100,0,0,0,0,6413,0,0.02,0,0
3.709취,6513,1339,0,-1,0,-1,100,0,0,0,0,6513,0,0.02,0,0
3.809취,6613,1344,0,-1,0,-1,100,0,0,0,0,6613,0,0.02,0,0
3.909취,6713,1342,0,-1,0,-1,100,0,0,0,0,6713,0,0.02,0,0
