time,timestamp,pressure,temperature
0취,0,101113.6,37.09203
0.01취,10,101113.4,37.09203
0.02취,20,101113.4,37.09203
0.03취,30,101113,37.08344
0.04취,40,101113.1,37.08607
0.05취,50,101114,37.09203
0.06취,60,101113,37.07352
0.07취,70,101114,37.07616
0.08취,80,101112.7,37.08409
0.09취,90,101113.3,37.08409
0.1취,100,101113.8,37.07715
0.11취,110,101113.9,37.08244
0.12취,120,101113.5,37.07352
0.13취,130,101112.8,37.05997
0.14취,140,101113,37.06261
0.15취,150,101112.9,37.05765
0.16취,160,101113.7,37.05765
0.17취,170,101113.4,37.06889
0.18취,180,101113.3,37.05765
0.19취,190,101113.5,37.04243
0.2취,200,101113.1,37.06029
0.21취,210,101113.3,37.05334
0.22취,220,101113.3,37.05334
0.23취,230,101113.5,37.04971
0.24취,240,101113.6,37.05666
0.25취,250,101113.7,37.06096
0.26취,260,101113.9,37.05434
0.27취,270,101113.7,37.05269
0.28취,280,101112.6,37.05434
0.29취,290,101113.1,37.05434
0.3취,300,101113.3,37.05765
0.31취,310,101113.2,37.04575
0.32취,320,101113.3,37.05765
0.33취,330,101112.9,37.04906
0.34취,340,101113.3,37.04343
0.35취,350,101113.2,37.04343
0.36취,360,101113.1,37.04707
0.37취,370,101113.2,37.05434
0.38취,380,101113.2,37.04707
0.39취,390,101113.8,37.06558
0.4취,400,101113.4,37.04144
0.41취,410,101113.8,37.05765
0.42취,420,101113.6,37.05765
0.43취,430,101113.1,37.06096
0.44취,440,101113,37.0517
0.45취,450,101113.7,37.05699
0.46취,460,101113.3,37.05566
0.47취,470,101113.3,37.04872
0.48취,480,101114.1,37.04079
0.49취,490,101113.1,37.04079
0.5취,500,101114.1,37.04575
0.51취,510,101114.1,37.04971
0.52취,520,101113.6,37.04376
0.53취,530,101112.9,37.04079
0.54취,540,101113.8,37.04144
0.55취,550,101113.5,37.04144
0.56취,560,101113.5,37.04079
0.57취,570,101113.6,37.04376
0.58취,580,101113.6,37.04707
0.59취,590,101113.4,37.03716
0.6취,600,101113.5,37.03847
0.61취,610,101112.8,37.03847
0.62취,620,101113,37.0322
0.63취,630,101113.5,37.0312
0.64취,640,101113.4,37.02492
0.65취,650,101113.5,37.03716
0.66취,660,101113.4,37.03186
0.67취,670,101113.5,37.03716
0.68취,680,101112.8,37.03716
0.69취,690,101113.4,37.04343
0.7취,700,101113.3,37.03252
0.71취,710,101114.1,37.03583
0.72취,720,101112.8,37.03815
0.73취,730,101113.2,37.03583
0.74취,740,101113.3,37.02756
0.75취,750,101113.4,37.02756
0.76취,760,101113.8,37.04608
