time,timestamp,mode,cmd_1,cmd_2
0취,0,5,0,0
0.232취,232,5,0,0
1.22취,1220,5,0,0
2.26취,2260,5,0,0
3.232취,3232,5,0,0
4.248취,4248,5,0,0
6.248취,6248,5,0,0
7.236취,7236,5,0,0
8.252취,8252,5,0,0
9.488취,9488,5,0,0
10.248취,10248,5,0,0
11.256취,11256,5,0,0
13.268취,13268,5,0,0
14.288취,14288,5,0,0
15.228취,15228,5,0,0
16.24취,16240,5,0,0
18.26취,18260,5,0,0
19.252취,19252,5,0,0
20.44취,20440,5,0,0
21.312취,21312,5,0,0
22.276취,22276,5,0,0
23.252취,23252,5,0,0
24.252취,24252,5,0,0
25.264취,25264,5,0,0
26.276취,26276,5,0,0
28.268취,28268,5,0,0
29.28취,29280,5,0,0
30.28취,30280,5,0,0
31.296취,31296,5,0,0
32.288취,32288,5,0,0
34.38취,34380,5,0,0
35.284취,35284,5,0,0
37.376취,37376,5,0,0
38.292취,38292,5,0,0
39.284취,39284,5,0,0
41.296취,41296,5,0,0
42.292취,42292,5,0,0
43.476취,43476,5,0,0
44.712취,44712,5,0,0
45.316취,45316,5,0,0
46.352취,46352,5,0,0
47.296취,47296,5,0,0
48.288취,48288,5,0,0
49.36취,49360,5,0,0
50.312취,50312,5,0,0
51.276취,51276,5,0,0
52.28취,52280,5,0,0
53.288취,53288,5,0,0
54.288취,54288,5,0,0
55.312취,55312,5,0,0
57.408취,57408,5,0,0
58.308취,58308,5,0,0
59.304취,59304,5,0,0
60.292취,60292,5,0,0
61.304취,61304,5,0,0
62.312취,62312,5,0,0
63.3취,63300,5,0,0
64.308취,64308,5,0,0
65.296취,65296,5,0,0
66.376취,66376,5,0,0
67.352취,67352,5,0,0
68.308취,68308,5,0,0
69.3취,69300,5,0,0
70.3취,70300,5,0,0
71.3취,71300,5,0,0
72.288취,72288,5,0,0
73.304취,73304,5,0,0
74.304취,74304,5,0,0
75.328취,75328,5,0,0
76.296취,76296,5,0,0
77.308취,77308,5,0,0
78.292취,78292,5,0,0
79.292취,79292,5,0,0
80.296취,80296,5,0,0
82.304취,82304,5,0,0
83.3취,83300,5,0,0
84.304취,84304,5,0,0
85.304취,85304,5,0,0
86.312취,86312,5,0,0
87.456취,87456,5,0,0
88.3취,88300,5,0,0
89.304취,89304,5,0,0
90.304취,90304,5,0,0
91.308취,91308,5,0,0
92.336취,92336,5,0,0
93.488취,93488,5,0,0
94.292취,94292,5,0,0
95.3취,95300,5,0,0
96.308취,96308,5,0,0
97.292취,97292,5,0,0
98.364취,98364,5,0,0
99.332취,99332,5,0,0
100.31취,100312,5,0,0
101.32취,101316,5,0,0
102.3취,102304,5,0,0
103.31취,103312,5,0,0
104.32취,104324,5,0,0
106.32취,106324,5,0,0
107.32취,107320,5,0,0
108.32취,108316,5,0,0
109.33취,109328,5,0,0
110.31취,110312,5,0,0
111.44취,111444,5,0,0
112.3취,112304,5,0,0
113.3취,113304,5,0,0
114.31취,114308,5,0,0
116.36취,116356,5,0,0
117.5취,117500,5,0,0
118.31취,118312,5,0,0
119.32취,119324,5,0,0
120.31취,120312,5,0,0
121.32취,121320,5,0,0
122.31취,122312,5,0,0
123.32취,123320,5,0,0
124.32취,124316,5,0,0
125.31취,125312,5,0,0
126.32취,126324,5,0,0
127.33취,127328,5,0,0
128.44취,128444,5,0,0
129.33취,129332,5,0,0
130.32취,130324,5,0,0
131.34취,131336,5,0,0
132.33취,132328,5,0,0
133.34취,133340,5,0,0
134.33취,134332,5,0,0
136.33취,136328,5,0,0
137.34취,137344,5,0,0
138.37취,138368,5,0,0
140.34취,140344,5,0,0
141.34취,141344,5,0,0
142.34취,142344,5,0,0
143.43취,143428,5,0,0
144.34취,144340,5,0,0
145.34취,145340,5,0,0
146.34취,146336,5,0,0
147.35취,147352,5,0,0
148.38취,148380,5,0,0
149.47취,149468,5,0,0
150.34취,150340,5,0,0
151.35취,151348,5,0,0
152.35취,152348,5,0,0
153.53취,153532,5,0,0
154.48취,154484,5,0,0
155.34취,155344,5,0,0
156.35취,156348,5,0,0
157.36취,157364,5,0,0
159.34취,159344,5,0,0
160.34취,160340,5,0,0
161.34취,161344,5,0,0
162.34취,162336,5,0,0
163.36취,163360,5,0,0
164.34취,164344,5,0,0
165.34취,165344,5,0,0
166.35취,166348,5,0,0
167.48취,167484,5,0,0
168.34취,168344,5,0,0
169.34취,169344,5,0,0
170.34취,170340,5,0,0
171.34취,171344,5,0,0
172.34취,172344,5,0,0
