time,timestamp,iTOW,year,month,day,hour,min,sec,valid,tAcc,nano,fixType,flags,reserved1,numSV,lon,lat,height,hMSL,hAcc,vAcc,velN,velE,velD,gSpeed,heading,sAcc,headingAcc,pDOP,reserved2
0취,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.668취,668,0,0,0,0,0,0,0,0,0,0,3,0,0,25,1139912884,226027728,50974,0,199,331,-19,38,41,0,0,78,0,0,0
0.768취,768,0,0,0,0,0,0,0,0,0,0,3,0,0,25,1139912885,226027728,50952,0,199,332,30,44,119,0,0,105,0,0,0
0.864취,864,0,0,0,0,0,0,0,0,0,0,3,0,0,25,1139912885,226027728,50940,0,199,332,-4,-25,32,0,0,114,0,0,0
0.966취,966,0,0,0,0,0,0,0,0,0,0,3,0,0,26,1139912885,226027728,50932,0,199,332,-26,-9,-10,0,0,82,0,0,0
1.068취,1068,0,0,0,0,0,0,0,0,0,0,3,0,0,26,1139912885,226027727,50922,0,199,332,-16,-49,36,0,0,107,0,0,0
1.186취,1186,0,0,0,0,0,0,0,0,0,0,3,0,0,26,1139912885,226027728,50913,0,199,333,26,12,25,0,0,97,0,0,0
1.268취,1268,0,0,0,0,0,0,0,0,0,0,3,0,0,26,1139912885,226027728,50906,0,199,333,-19,-40,-9,0,0,83,0,0,0
1.364취,1364,0,0,0,0,0,0,0,0,0,0,3,0,0,26,1139912884,226027728,50895,0,199,333,1,-7,70,0,0,117,0,0,0
1.466취,1466,0,0,0,0,0,0,0,0,0,0,3,0,0,26,1139912885,226027727,50881,0,199,333,6,4,5,0,0,82,0,0,0
1.566취,1566,0,0,0,0,0,0,0,0,0,0,3,0,0,26,1139912885,226027727,50876,0,199,333,-25,-8,-23,0,0,92,0,0,0
1.668취,1668,0,0,0,0,0,0,0,0,0,0,3,0,0,26,1139912885,226027727,50863,0,199,334,21,-12,40,0,0,105,0,0,0
1.768취,1768,0,0,0,0,0,0,0,0,0,0,3,0,0,26,1139912885,226027727,50850,0,199,334,-26,22,9,0,0,48,0,0,0
1.864취,1864,0,0,0,0,0,0,0,0,0,0,3,0,0,26,1139912885,226027727,50837,0,199,334,3,2,9,0,0,85,0,0,0
1.968취,1968,0,0,0,0,0,0,0,0,0,0,3,0,0,26,1139912885,226027727,50825,0,199,334,-7,-16,-2,0,0,72,0,0,0
2.068취,2068,0,0,0,0,0,0,0,0,0,0,3,0,0,26,1139912885,226027727,50817,0,199,334,5,-9,27,0,0,103,0,0,0
2.188취,2188,0,0,0,0,0,0,0,0,0,0,3,0,0,26,1139912885,226027727,50821,0,234,394,-11,3,10,0,0,70,0,0,0
2.268취,2268,0,0,0,0,0,0,0,0,0,0,3,0,0,26,1139912886,226027727,50821,0,283,477,-6,-15,28,0,0,101,0,0,0
2.366취,2366,0,0,0,0,0,0,0,0,0,0,3,0,0,26,1139912887,226027727,50831,0,308,519,-18,-3,4,0,0,58,0,0,0
2.466취,2466,0,0,0,0,0,0,0,0,0,0,3,0,0,26,1139912888,226027727,50838,0,329,554,8,22,-34,0,0,97,0,0,0
2.566취,2566,0,0,0,0,0,0,0,0,0,0,3,0,0,26,1139912888,226027727,50847,0,341,574,2,-3,-17,0,0,81,0,0,0
2.666취,2666,0,0,0,0,0,0,0,0,0,0,3,0,0,26,1139912889,226027728,50855,0,346,585,10,-8,-3,0,0,43,0,0,0
2.766취,2766,0,0,0,0,0,0,0,0,0,0,3,0,0,26,1139912890,226027728,50867,0,357,604,-1,25,-24,0,0,91,0,0,0
2.866취,2866,0,0,0,0,0,0,0,0,0,0,3,0,0,26,1139912891,226027728,50864,0,359,607,9,34,30,0,0,72,0,0,0
2.966취,2966,0,0,0,0,0,0,0,0,0,0,3,0,0,26,1139912892,226027729,50865,0,360,608,50,36,4,0,0,75,0,0,0
3.068취,3068,0,0,0,0,0,0,0,0,0,0,3,0,0,26,1139912893,226027729,50863,0,361,610,-9,-36,90,0,0,109,0,0,0
3.184취,3184,0,0,0,0,0,0,0,0,0,0,3,0,0,26,1139912893,226027729,50873,0,361,611,-6,-9,10,0,0,102,0,0,0
3.266취,3266,0,0,0,0,0,0,0,0,0,0,3,0,0,26,1139912894,226027729,50876,0,358,607,1,11,34,0,0,102,0,0,0
