time,timestamp,phi,theta,psi,p,q,r,ax,ay,az,vn,ve,vd,airspeed,lat,lon,alt,lat_0,lon_0,alt_0,dx_dlat,dy_dlon,x_R,y_R,h_R,h_AGL,flag,status
0취,0,1.477673e-10,-4.792535e-09,5.989311e-09,7.388367e-08,-2.396267e-06,2.994655e-06,-0.0002321298,-0.0001406949,-0.006809543,-4.642596e-07,-2.813897e-07,0.01959738,0.1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0.102취,102,0.0005799463,-0.0006474953,0.01973812,-0.0006925994,0.003909552,0.0005745178,-0.3757431,-0.2514521,-9.784653,-0.03449237,-0.02308135,0.1123534,0.1,-0,-0,-0,0,0,0,0,0,-0.001582977,-0.001047747,-0.01077386,-0.01077386,15,5
0.202취,202,0.02564986,-0.03995388,1.320421,2.186198e-05,0.0007702053,-0.0003440825,-0.3795651,-0.2224212,-9.758261,-0.03728208,-0.02369494,0.1163033,0.1,-0,-0,-0,0,0,0,0,0,-0.005292593,-0.003517293,-0.02219448,-0.02219448,15,5
0.302취,302,0.0256163,-0.03993384,1.31962,-0.0009805965,-0.001689137,0.0002734359,-0.3813581,-0.2414657,-9.741923,-0.03758357,-0.02216904,0.1202156,0.1,-0,-0,-0,0,0,0,0,0,-0.009045739,-0.005829399,-0.0339964,-0.0339964,15,5
0.402취,402,0.02568631,-0.03980348,1.319391,-0.001924968,5.934694e-05,0.000169196,-0.3843793,-0.2537679,-9.761282,-0.03738143,-0.02198063,0.1234413,0.1,-0,-0,-0,0,0,0,0,0,-0.01278155,-0.008044486,-0.04617338,-0.04617338,15,5
0.502취,502,0.02560665,-0.0396985,1.319589,-0.0006387399,-0.0003370304,-0.001068533,-0.3566841,-0.2320832,-9.766279,-0.03677601,-0.02130169,0.1264497,0.1,-0,-0,-0,0,0,0,0,0,-0.01650457,-0.01021447,-0.05866887,-0.05866887,15,5
0.602취,602,0.02567027,-0.03968892,1.319676,0.001048619,-0.003880148,0.001205636,-0.3847968,-0.2458424,-9.763489,-0.03697222,-0.01939047,0.1303125,0.1,-0,-0,-0,0,0,0,0,0,-0.02020965,-0.01224962,-0.0715048,-0.0715048,15,5
0.702취,702,0.0257153,-0.03967363,1.320005,6.771219e-05,0.004150625,-0.001787773,-0.3756564,-0.2276943,-9.739724,-0.03796022,-0.01902348,0.1342745,0.1,-0,-0,-0,0,0,0,0,0,-0.02395841,-0.01418077,-0.08472006,-0.08472006,15,5
0.802취,802,0.02571005,-0.0395272,1.319829,-0.0001998604,-0.0008396424,-0.001079507,-0.3676207,-0.2605011,-9.743032,-0.0384011,-0.01823964,0.1386326,0.1,-0,-0,-0,0,0,0,0,0,-0.02779952,-0.01604758,-0.09836852,-0.09836852,15,5
0.902취,902,0.02568583,-0.03944108,1.319886,-0.0006892064,0.0008474908,0.0005318643,-0.3786087,-0.2464157,-9.755872,-0.0380985,-0.0174444,0.1419919,0.1,-0,-0,-0,0,0,0,0,0,-0.0316257,-0.01783228,-0.1124064,-0.1124064,15,5
