time,timestamp,mag_x,mag_y,mag_z
0취,0,0.1013138,-0.338416,0.4487783
0.01취,10,0.09766607,-0.3383701,0.4487208
0.02취,20,0.1049076,-0.3349873,0.4532158
0.03취,30,0.108387,-0.3243049,0.4579827
0.04취,40,0.1051347,-0.3495511,0.4529078
0.05취,50,0.09772941,-0.3423037,0.4570259
0.06취,60,0.1085343,-0.3347681,0.4417152
0.07취,70,0.1086602,-0.342275,0.4495461
0.08취,80,0.1159166,-0.3391214,0.462079
0.09취,90,0.1124223,-0.3496281,0.4495809
0.1취,100,0.1121867,-0.3349911,0.4461442
0.11취,110,0.1049462,-0.3385185,0.4458175
0.12취,120,0.1086402,-0.341988,0.4378274
0.13취,130,0.1161675,-0.3566441,0.4375919
0.14취,140,0.1087776,-0.3497337,0.4537442
0.15취,150,0.09776612,-0.3458215,0.4495308
0.16취,160,0.1051272,-0.3497004,0.4537564
0.17취,170,0.1157768,-0.3314906,0.4468403
0.18취,180,0.1048391,-0.3315604,0.4545819
0.19취,190,0.09406212,-0.3422833,0.4537762
0.2취,200,0.1159429,-0.3422872,0.4424808
0.21취,210,0.09416901,-0.3494552,0.4495973
0.22취,220,0.1048261,-0.3313524,0.4466664
0.23취,230,0.1050614,-0.3460012,0.4501473
0.24취,240,0.1085785,-0.3384601,0.4385445
0.25취,250,0.1123612,-0.3461335,0.4504959
0.26취,260,0.1050661,-0.3461402,0.4543106
0.27취,270,0.112361,-0.3461395,0.4505295
0.28취,280,0.1124121,-0.3496743,0.4464551
0.29취,290,0.09745944,-0.3275293,0.4427643
0.3취,300,0.1122,-0.3354907,0.4591258
0.31취,310,0.115827,-0.3350864,0.4431272
0.32취,320,0.1160509,-0.3495008,0.4385178
0.33취,330,0.1052031,-0.353897,0.4703194
0.34취,340,0.1159652,-0.3428366,0.4590996
0.35취,350,0.1086456,-0.3423755,0.4467529
0.36취,360,0.1088177,-0.3532799,0.4463519
0.37취,370,0.1052357,-0.3570925,0.4541845
0.38취,380,0.108542,-0.3353524,0.4551767
0.39취,390,0.09774895,-0.3458541,0.4463356
0.4취,400,0.1014398,-0.3491977,0.4342109
0.41취,410,0.1122898,-0.3423465,0.4430067
0.42취,420,0.09766315,-0.3391716,0.4668344
0.43취,430,0.1086501,-0.3425262,0.4509881
0.44취,440,0.1086563,-0.3426359,0.4549902
0.45취,450,0.1231804,-0.3387814,0.4395516
0.46취,460,0.112232,-0.338725,0.4432166
0.47취,470,0.1086617,-0.3427633,0.4590957
0.48취,480,0.1158892,-0.3389095,0.447444
0.49취,490,0.1013923,-0.3458255,0.4425879
0.5취,500,0.1123584,-0.3462346,0.4510687
