time,timestamp,stick_yaw,stick_throttle,stick_roll,stick_pitch,mode,cmd_1,cmd_2
0취,0,0,-1,-0.007999957,-0.005999982,5,1002,0
0.056취,56,0,-1,-0.007999957,-0.005999982,5,1002,0
0.108취,108,0,-1,-0.007999957,-0.003999949,5,0,0
0.16취,160,0,-1,-0.007999957,-0.003999949,5,0,0
0.212취,212,0,-1,-0.009999931,-0.003999949,5,0,0
0.26취,260,0,-1,-0.007999957,-0.003999949,5,0,0
0.312취,312,0,-1,-0.007999957,-0.003999949,5,0,0
0.36취,360,0,-1,-0.009999931,-0.005999982,5,0,0
0.412취,412,0,-1,-0.009999931,-0.005999982,5,0,0
0.46취,460,0,-1,-0.009999931,-0.003999949,5,0,0
0.512취,512,0,-1,-0.009999931,-0.005999982,5,0,0
0.56취,560,0,-1,-0.007999957,-0.005999982,5,0,0
0.616취,616,0,-1,-0.009999931,-0.005999982,5,0,0
0.668취,668,0,-1,-0.009999931,-0.003999949,5,0,0
0.716취,716,0,-1,-0.009999931,-0.005999982,5,0,0
0.768취,768,0,-1,-0.009999931,-0.003999949,5,0,0
0.816취,816,0,-1,-0.007999957,-0.005999982,5,0,0
0.868취,868,0,-1,-0.007999957,-0.005999982,5,0,0
0.924취,924,0,-1,-0.007999957,-0.003999949,5,0,0
0.972취,972,0,-1,-0.007999957,-0.003999949,5,0,0
1.024취,1024,0,-1,-0.007999957,-0.003999949,5,0,0
1.072취,1072,0,-1,-0.007999957,-0.005999982,5,0,0
1.124취,1124,0,-1,-0.007999957,-0.003999949,5,0,0
1.176취,1176,0,-1,-0.009999931,-0.003999949,5,0,0
1.224취,1224,0,-1,-0.007999957,-0.003999949,5,0,0
1.276취,1276,0,-1,-0.007999957,-0.005999982,5,0,0
1.324취,1324,0,-1,-0.009999931,-0.003999949,5,0,0
1.376취,1376,0,-1,-0.009999931,-0.003999949,5,0,0
1.428취,1428,0,-1,-0.009999931,-0.005999982,5,0,0
1.48취,1480,0,-1,-0.007999957,-0.005999982,5,0,0
1.528취,1528,0,-1,-0.007999957,-0.005999982,5,0,0
1.58취,1580,0,-1,-0.009999931,-0.003999949,5,0,0
1.632취,1632,0,-1,-0.007999957,-0.003999949,5,0,0
1.684취,1684,0,-1,-0.009999931,-0.005999982,5,0,0
1.736취,1736,0,-1,-0.007999957,-0.005999982,5,0,0
1.788취,1788,0,-1,-0.007999957,-0.005999982,5,0,0
1.836취,1836,0,-1,-0.007999957,-0.005999982,5,0,0
1.888취,1888,0,-1,-0.007999957,-0.003999949,5,0,0
1.936취,1936,0,-1,-0.009999931,-0.003999949,5,0,0
1.988취,1988,0,-1,-0.007999957,-0.003999949,5,0,0
2.04취,2040,0,-1,-0.009999931,-0.005999982,5,0,0
2.088취,2088,0,-1,-0.009999931,-0.003999949,5,0,0
2.14취,2140,0,-1,-0.009999931,-0.005999982,5,0,0
2.192취,2192,0,-1,-0.007999957,-0.005999982,5,0,0
2.244취,2244,0,-1,-0.007999957,-0.003999949,5,0,0
2.292취,2292,0,-1,-0.009999931,-0.005999982,5,0,0
2.344취,2344,0,-1,-0.009999931,-0.003999949,5,0,0
2.392취,2392,0,-1,-0.009999931,-0.005999982,5,0,0
2.444취,2444,0,-1,-0.009999931,-0.005999982,5,0,0
2.5취,2500,0,-1,-0.007999957,-0.003999949,5,0,0
2.548취,2548,0,-1,-0.007999957,-0.003999949,5,0,0
2.6취,2600,0,-1,-0.009999931,-0.003999949,5,0,0
2.648취,2648,0,-1,-0.009999931,-0.003999949,5,0,0
2.7취,2700,0,-1,-0.009999931,-0.003999949,5,0,0
2.752취,2752,0,-1,-0.007999957,-0.003999949,5,0,0
2.8취,2800,0,-1,-0.009999931,-0.005999982,5,0,0
2.852취,2852,0,-1,-0.009999931,-0.005999982,5,0,0
2.9취,2900,0,-1,-0.009999931,-0.003999949,5,0,0
2.952취,2952,0,-1,-0.009999931,-0.003999949,5,0,0
3.004취,3004,0,-1,-0.009999931,-0.005999982,5,0,0
3.06취,3060,0,-1,-0.007999957,-0.003999949,5,0,0
3.108취,3108,0,-1,-0.007999957,-0.005999982,5,0,0
3.16취,3160,0,-1,-0.009999931,-0.005999982,5,0,0
